BPSK_sim:,0.88155,0.07225,0.01145,0.03475,1
QPSK_sim:,0.79595,0.1261,0.017,0.06095,1
8PSK_sim:,0.77875,0.13515,0.0181,0.068,1
16QAM_sim:,0.7614,0.1445,0.0157,0.0784,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,16994,1860,349,797,20000
QPSK_sim:,14771,3219,476,1534,20000
8PSK_sim:,14106,3561,571,1762,20000
16QAM_sim:,13533,3859,515,2093,20000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.8497,0.093,0.01745,0.03985,1
QPSK_sim:,0.73855,0.16095,0.0238,0.0767,1
8PSK_sim:,0.7053,0.17805,0.02855,0.0881,1
16QAM_sim:,0.67665,0.19295,0.02575,0.10465,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,16793,1982,504,721,20000
QPSK_sim:,12939,4230,765,2066,20000
8PSK_sim:,12790,4280,892,2038,20000
16QAM_sim:,11337,4971,769,2923,20000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.83965,0.0991,0.0252,0.03605,1
QPSK_sim:,0.64695,0.2115,0.03825,0.1033,1
8PSK_sim:,0.6395,0.214,0.0446,0.1019,1
16QAM_sim:,0.56685,0.24855,0.03845,0.14615,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,16515,2168,572,745,20000
QPSK_sim:,11111,5287,1083,2519,20000
8PSK_sim:,10287,5579,1263,2871,20000
16QAM_sim:,9804,5745,956,3495,20000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.82575,0.1084,0.0286,0.03725,1
QPSK_sim:,0.55555,0.26435,0.05415,0.12595,1
8PSK_sim:,0.51435,0.27895,0.06315,0.14355,1
16QAM_sim:,0.4902,0.28725,0.0478,0.17475,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,16363,2328,664,645,20000
QPSK_sim:,9594,6214,1469,2723,20000
8PSK_sim:,8610,6428,1838,3124,20000
16QAM_sim:,7656,6647,1224,4473,20000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.81815,0.1164,0.0332,0.03225,1
QPSK_sim:,0.4797,0.3107,0.07345,0.13615,1
8PSK_sim:,0.4305,0.3214,0.0919,0.1562,1
16QAM_sim:,0.3828,0.33235,0.0612,0.22365,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,16544,2350,620,486,20000
QPSK_sim:,7930,7097,1839,3134,20000
8PSK_sim:,6744,7239,2410,3607,20000
16QAM_sim:,5659,7408,1622,5311,20000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.8272,0.1175,0.031,0.0243,1
QPSK_sim:,0.3965,0.35485,0.09195,0.1567,1
8PSK_sim:,0.3372,0.36195,0.1205,0.18035,1
